agents=16
map_file=1601003888
solver=planner
solved=1
soc=243
soc_lb=222
makespan=33
makespan_lb=32
sum_of_loss=243
sum_of_loss_lb=222
comp_time=10674
seed=0
starts=(12,25),(20,17),(25,23),(15,18),(13,11),(13,5),(13,23),(7,15),(17,10),(11,7),(25,11),(9,13),(9,10),(24,7),(23,15),(11,14),
goals=(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(21,9),(5,6),(16,5),(6,17),
solution=
0:(12,25),(20,17),(25,23),(15,18),(13,11),(13,5),(13,23),(7,15),(17,10),(11,7),(25,11),(9,13),(9,10),(24,7),(23,15),(11,14),
1:(13,25),(19,17),(24,23),(15,17),(13,10),(12,5),(12,23),(7,14),(17,11),(11,8),(25,10),(9,12),(9,11),(23,7),(23,14),(11,15),
2:(14,25),(19,18),(23,23),(16,17),(13,9),(11,5),(11,23),(7,14),(18,11),(11,9),(25,11),(9,11),(10,11),(23,6),(23,13),(10,15),
3:(15,25),(18,18),(22,23),(17,17),(14,9),(11,6),(11,22),(7,14),(19,11),(12,9),(25,12),(9,10),(11,11),(23,5),(23,12),(9,15),
4:(15,24),(17,18),(21,23),(18,17),(15,9),(11,7),(11,21),(7,14),(20,11),(13,9),(25,13),(9,9),(11,12),(22,5),(23,11),(9,16),
5:(15,23),(17,17),(20,23),(19,17),(15,8),(11,8),(12,21),(7,14),(21,11),(13,10),(24,13),(8,9),(11,13),(21,5),(23,10),(9,17),
6:(15,22),(16,17),(19,23),(20,17),(15,7),(11,9),(13,21),(7,14),(22,11),(13,10),(23,13),(7,9),(11,14),(20,5),(23,9),(8,17),
7:(15,22),(15,17),(18,23),(21,17),(16,7),(11,10),(13,20),(7,14),(23,11),(13,10),(23,14),(6,9),(11,15),(19,5),(23,8),(7,17),
8:(15,22),(14,17),(17,23),(22,17),(17,7),(11,11),(13,19),(7,14),(23,12),(13,10),(23,15),(5,9),(12,15),(18,5),(23,7),(6,17),
9:(15,22),(13,17),(17,22),(23,17),(17,7),(10,11),(13,18),(7,14),(23,13),(13,10),(22,15),(5,8),(13,15),(17,5),(23,6),(6,17),
10:(15,22),(12,17),(17,21),(23,17),(17,7),(9,11),(13,17),(7,14),(23,14),(13,10),(21,15),(5,7),(13,14),(16,5),(23,5),(6,17),
11:(15,22),(11,17),(17,20),(23,17),(17,7),(8,11),(12,17),(7,14),(23,14),(13,10),(20,15),(5,6),(13,13),(15,5),(22,5),(6,17),
12:(15,22),(10,17),(17,19),(23,17),(17,7),(7,11),(11,17),(7,14),(23,14),(13,10),(19,15),(5,5),(14,13),(14,5),(21,5),(6,17),
13:(15,22),(9,17),(17,18),(23,17),(17,7),(7,12),(11,18),(7,14),(23,14),(13,10),(19,14),(5,5),(15,13),(13,5),(20,5),(6,17),
14:(15,22),(8,17),(17,17),(23,17),(17,7),(7,13),(11,19),(7,14),(23,14),(13,10),(19,13),(5,5),(16,13),(12,5),(19,5),(6,17),
15:(15,22),(7,17),(17,16),(23,17),(17,7),(7,13),(10,19),(7,14),(23,14),(13,10),(18,13),(5,5),(17,13),(12,5),(18,5),(6,17),
16:(15,22),(7,18),(17,15),(23,17),(17,7),(7,13),(9,19),(7,14),(23,14),(13,10),(17,13),(5,5),(17,12),(11,5),(17,5),(6,17),
17:(15,22),(7,19),(17,14),(23,17),(17,7),(7,13),(9,20),(7,14),(23,14),(13,10),(16,13),(5,5),(17,11),(11,6),(16,5),(6,17),
18:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(9,21),(7,14),(23,14),(13,10),(15,13),(5,5),(18,11),(11,7),(16,5),(6,17),
19:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(8,21),(7,14),(23,14),(13,10),(14,13),(5,5),(19,11),(11,8),(16,5),(6,17),
20:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(7,21),(7,14),(23,14),(13,10),(13,13),(5,5),(20,11),(11,9),(16,5),(6,17),
21:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(6,21),(7,14),(23,14),(13,10),(13,14),(5,5),(21,11),(11,10),(16,5),(6,17),
22:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,21),(7,14),(23,14),(13,10),(13,15),(5,5),(22,11),(11,11),(16,5),(6,17),
23:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,20),(7,14),(23,14),(13,10),(13,16),(5,5),(23,11),(10,11),(16,5),(6,17),
24:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,19),(7,14),(23,14),(13,10),(13,17),(5,5),(23,10),(9,11),(16,5),(6,17),
25:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,18),(7,14),(23,14),(13,10),(12,17),(5,5),(23,9),(9,10),(16,5),(6,17),
26:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,17),(7,14),(23,14),(13,10),(11,17),(5,5),(23,8),(9,9),(16,5),(6,17),
27:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(23,7),(8,9),(16,5),(6,17),
28:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(22,7),(7,9),(16,5),(6,17),
29:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(21,7),(6,9),(16,5),(6,17),
30:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(21,8),(5,9),(16,5),(6,17),
31:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(21,9),(5,8),(16,5),(6,17),
32:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(21,9),(5,7),(16,5),(6,17),
33:(15,22),(7,19),(17,13),(23,17),(17,7),(7,13),(5,16),(7,14),(23,14),(13,10),(11,18),(5,5),(21,9),(5,6),(16,5),(6,17),
